Methanol Destruction 1020 cm-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100% Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-16% Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020 cm-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0min 100W,,,,60min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,,,,,75min 50W,,,,,,,,0 min 100W,,,,,,,,60 min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,75min 50W,,,,,,0 min 100W 100%,60 min 100W 100%,,,,,0 min 50W 100%,,,,,75 min 50W 100%,,,0min 100W 11-16%,,,60min 100W 11-16%,,,,,,0min 50W 11-16%,,,75min 50W 11-16%,,,,1020,,,,,,,,,,,60 min 100W,absolute error ,0 min 100 W,error,75min 50W,error,0 min 50 W,error,,
,,110923,,,,101223,,092823 - IR out,,91523,,83123,,102824,,Average,st. dev.,,,010324 -2nd good,,122123 -power surge,,122723 -purge,,121823 -oscillate,,Average,st. dev.,,,010523,,122923 -purge,,Average,st. dev.,,,81524,,81624,,Average,st. dev.,,,71824,,090324 -purge,,92424,,100824 -purge,,101524,,Average,st. dev.,,,82724,,083024 -purge,,Average,st. dev.,,,91724,,,,110923,101223,92823,91523,83123,ave,10324,122123,122723,121823,ave,10524,122923,ave,81524,81624,ave,71824,90324,92424,100824,101524,ave,82724,83024,ave,91724,,,,100%,,,,14-19%,,,,percentage,thickness,,0,0,0,0,0,0,0,0,,
Temp,Fluence,Integrated Absorbance,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,,,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,,,,temp,fluence,norm. int. absorbance,error,temp,fluence,norm. int. absorbance,error,,,,1.62E+17,4.2E+16,1.62E+17,4.2E+16,1.515E+17,2.25E+16,1.515E+17,2.25E+16,,0
10,0,6.471,1,10,0,6.463,1,5.384,1,5.751,1,2.6934,1,,0,1,,10K,0,6.895,1,6.384,1,6.764,1,6.659,1,1,,0,0,6.465,1,6.11,1,1,,10K,0,0.8415,1,1.0293,1,1,,0,0,1.0936,1,0.7488,1,0.9395,1,0.8657,1,0.9733,1,1,,10K,0,0.6921,1,0.8721,1,1,,0,0,0.8675,1,,,0.048647448,0.03439894,0.048647448,0.048647448,0.048647448,0.045085321,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,0.048647448,,0,1,20,1.54E+17,0.8627,0.041967357,20,1.54E+17,0.7612,0.037031854,16.7,1010,,3.24E+17,8.4E+16,3.24E+17,8.4E+16,3.03E+17,4.5E+16,3.03E+17,4.5E+16,,1.62E+17
20,1.62E+17,5.76,0.890125174,10,1.62E+17,5.015,0.775955439,4.711,0.875,5.101,0.886976178,2.3906,0.88757704,,1.62E+17,0.856377164,,20K,1.515E+17,6.262,0.908194344,5.805,0.909304511,6.116,0.904198699,5.971,0.896681183,0.904594684,,12.5,1.515E+17,5.819,0.90007734,5.554,0.909001637,0.904539489,,20K,1.62E+17,0.6893,0.819132502,0.863,0.838433887,0.828783195,,10,1.62E+17,0.9014,0.824250183,0.6239,0.833199786,0.7913,0.842256519,0.6762,0.781101998,0.8093,0.831501079,0.822461913,,20K,1.515E+17,0.6239,0.901459327,0.7815,0.896112831,0.898786079,,12.5,1.515E+17,0.7666,0.883688761,,,0.043302318,0.026692045,0.042566517,0.043149127,0.043178358,0.038896512,0.044181337,0.044235344,0.043986959,0.043621251,0.044006223,0.043786465,0.04422061,0.044003537,0.039848706,0.040787669,0.040318187,0.040097668,0.040533043,0.04097363,0.037998619,0.040450405,0.040010673,0.043853695,0.043593602,0.043723649,0.042989203,,1.62E+17,0.856377164,50,6.17E+17,0.7525,0.036608079,50,6.17E+17,0.4482,0.02180353,17.7,784,,4.86E+17,1.26E+17,4.86E+17,1.26E+17,4.545E+17,6.75E+16,4.545E+17,6.75E+16,,3.24E+17
30,3.24E+17,5.449,0.842064596,10,3.24E+17,4.56,0.705554696,4.426,0.822065379,4.854,0.844027126,2.2378,0.830845771,,3.24E+17,0.800623243,,30K,3.03E+17,5.941,0.861638869,5.533,0.866697995,5.836,0.862803075,5.682,0.853281274,0.861105303,,25,3.03E+17,5.432,0.840216551,5.242,0.857937807,0.849077179,,30K,3.24E+17,0.6085,0.723113488,0.8115,0.788399883,0.755756686,,20,3.24E+17,0.8141,0.744422092,0.5712,0.762820513,0.724,0.770622672,0.605,0.698856417,0.7356,0.755779308,0.7465002,,30K,3.03E+17,0.5889,0.8508886,0.7325,0.839926614,0.845407607,,25,3.03E+17,0.7193,0.829164265,,,0.040964293,0.024270334,0.039991383,0.041059765,0.040418526,0.036435002,0.041916532,0.042162645,0.041973167,0.041509956,0.041890575,0.040874391,0.041736485,0.041305438,0.035177626,0.038353642,0.036765634,0.036214235,0.037109271,0.037488826,0.033997581,0.036766734,0.036315329,0.041393559,0.040860286,0.041126922,0.040336725,,3.24E+17,0.800623243,100,1.39E+18,0.6218,0.030250627,70,9.26E+17,0.409,0.019895835,14.6,879,,6.48E+17,1.68E+17,6.48E+17,1.68E+17,6.06E+17,9E+16,6.06E+17,9E+16,,4.86E+17
40,4.86E+17,5.191,0.802194406,10,4.86E+17,4.212,0.651709732,4.192,0.778603269,4.657,0.809772214,2.1074,0.782431128,,4.86E+17,0.755629086,,40K,4.545E+17,5.688,0.824945613,5.316,0.832706767,5.587,0.825990538,5.414,0.81303499,0.824169477,,37.5,4.545E+17,5.145,0.795823666,5.001,0.818494272,0.807158969,,40K,4.86E+17,0.54,0.64171123,0.7593,0.737685806,0.689698518,,30,4.86E+17,0.7557,0.691020483,0.5329,0.711672009,0.6615,0.704097924,0.5464,0.631165531,0.6844,0.703174766,0.688226143,,40K,4.545E+17,0.5608,0.810287531,0.695,0.796926958,0.803607245,,37.5,4.545E+17,0.6857,0.790432277,,,0.03902471,0.022418124,0.037877062,0.039393351,0.038063277,0.034437954,0.040131499,0.040509059,0.040182332,0.039552077,0.040093742,0.03871479,0.039817657,0.039266224,0.031217613,0.035886532,0.033552073,0.033616383,0.034621027,0.034252567,0.030704592,0.034207658,0.033480445,0.03941842,0.038768463,0.039093441,0.038452513,,4.86E+17,0.755629086,130,1.85E+18,0.5575,0.027119972,100,1.39E+18,0.202,0.010550288,14.7,856,,8.1E+17,2.1E+17,8.1E+17,2.1E+17,7.575E+17,1.125E+17,7.575E+17,1.125E+17,,6.48E+17
50,6.48E+17,4.965,0.767269356,10,6.48E+17,3.699,0.572334829,4.01,0.744799406,4.496,0.781777082,2.009,0.745897379,,6.48E+17,0.711202174,,50K,6.06E+17,5.454,0.791007977,5.127,0.803101504,5.371,0.794056771,5.184,0.77849527,0.791665381,,50,6.06E+17,4.922,0.76133024,4.78,0.782324059,0.77182715,,50K,6.48E+17,0.4887,0.580748663,0.7112,0.690955018,0.635851841,,40,6.48E+17,0.7066,0.646122897,0.4996,0.667200855,0.6215,0.661522086,0.5015,0.579299988,0.6431,0.660741806,0.642977526,,50K,6.06E+17,0.531,0.767230169,0.6638,0.761151244,0.764190707,,50,6.06E+17,0.65,0.749279539,,,0.037325696,0.019687712,0.03623259,0.03803146,0.036286004,0.032559441,0.038480519,0.039068838,0.038628835,0.037871808,0.0385125,0.037036773,0.038058069,0.037547421,0.02825194,0.033613198,0.030932569,0.03143223,0.032457619,0.032181361,0.028181466,0.032143402,0.031279216,0.03732379,0.037028065,0.037175927,0.036450537,,6.48E+17,0.711202174,150,2.16E+18,0.2009,0.009775275,130,1.85E+18,0.3154,0.015344783,18.3,1020,,9.72E+17,2.52E+17,9.72E+17,2.52E+17,9.09E+17,1.35E+17,9.09E+17,1.35E+17,,8.1E+17
60,8.1E+17,4.729,0.730798949,10,8.1E+17,,0.557635773,3.855,0.716010401,4.333,0.753434185,1.9092,0.708843841,,8.1E+17,0.68398105,,60K,7.575E+17,5.241,0.760116026,4.949,0.775219298,5.184,0.766410408,4.986,0.748761075,0.762626702,,62.5,7.575E+17,4.725,0.730858469,4.624,0.756792144,0.743825307,,60K,8.1E+17,0.4413,0.524420677,0.6712,0.652093656,0.588257167,,50,8.1E+17,0.6648,0.607900512,0.48,0.641025641,0.5883,0.626184141,0.4638,0.535751415,0.6093,0.62601459,0.60737526,,60K,7.575E+17,0.5187,0.749458171,0.6331,0.725948859,0.737703515,,62.5,7.575E+17,0.6244,0.719769452,,,0.035551504,,0.034832079,0.03665265,0.034483444,,0.036977705,0.03771244,0.03728391,0.036425315,0.037099843,0.035554399,0.036816006,0.036185203,0.025511727,0.031722692,0.02861721,0.029572808,0.031184261,0.03046226,0.026062939,0.030454012,0.029547256,0.036459227,0.035315559,0.035887393,0.035014947,,8.1E+17,0.68398105,,,,,150,2.16E+18,0.0964,0.004688684,20.3,981,,1.134E+18,2.94E+17,1.134E+18,2.94E+17,1.0605E+18,1.575E+17,1.0605E+18,1.575E+17,,9.72E+17
70,9.72E+17,4.438,0.685829084,10,9.72E+17,3.509,0.542936717,3.741,0.694836553,4.207,0.731524952,1.8378,0.682334596,,9.72E+17,0.662908205,,70K,9.09E+17,5.031,0.729659173,4.769,0.74702381,4.986,0.737137788,4.78,0.717825499,0.732911568,,75,9.09E+17,4.555,0.704563032,4.492,0.735188216,0.719875624,,70K,9.72E+17,0.4016,0.477243018,0.6295,0.611580686,0.544411852,,60,9.72E+17,0.6268,0.57315289,0.4586,0.612446581,0.5576,0.593507185,0.4407,0.509067806,0.5786,0.594472413,0.576529375,,70K,9.09E+17,0.4983,0.719982662,0.6037,0.692237129,0.706109896,,75,9.09E+17,0.6011,0.692910663,,,0.033363834,0.018676448,0.033802025,0.035586822,0.033193837,0.030314783,0.035496056,0.036340802,0.035859872,0.034920378,0.035654277,0.034275193,0.03576503,0.035020112,0.023216655,0.029751839,0.026484247,0.027882425,0.029793963,0.02887261,0.024764849,0.028919566,0.028046683,0.035025319,0.03367557,0.034350444,0.033708335,,9.72E+17,0.662908205,,,,,,,,,,,,1.296E+18,3.36E+17,1.296E+18,3.36E+17,1.212E+18,1.8E+17,1.212E+18,1.8E+17,,1.296E+18
80,1.134E+18,4.26,0.658321743,20,1.134E+18,,,,,,,,,,,,,80K,1.0605E+18,4.826,0.699927484,4.599,0.720394737,4.794,0.708752218,4.593,0.689743205,0.704704411,,20K,1.0605E+18,4.415,0.682907966,4.366,0.714566285,0.698737126,,80K,1.134E+18,0.3613,0.429352347,0.5934,0.576508307,0.502930327,,20K,1.134E+18,,,0.4396,0.58707265,0.5247,0.558488558,0.4132,0.477301606,0.5539,0.569094832,0.547989412,,80K,1.0605E+18,0.4778,0.690362664,0.5758,0.660245385,0.675304025,,20K,1.0605E+18,0.5807,0.669394813,,,0.032025673,,,,,,0.034049686,0.035045365,0.034478986,0.033554246,0.034282071,0.03322173,0.034761826,0.033991778,0.020886896,0.028045658,0.024466277,,0.028559586,0.027169043,0.023219505,0.027685011,0.026658286,0.033584382,0.032119253,0.032851817,0.032564349,,1.296E+18,0.63204206,,,,,,,,,,,,1.458E+18,3.78E+17,1.458E+18,3.78E+17,1.3635E+18,2.025E+17,1.3635E+18,2.025E+17,,1.62E+18
